Make,Car_Name,CC_Capacity,Horsepower,Top_Speed_kmh,Acceleration_0_100_sec,Price_USD,Seats,Torque_Nm,Engine_Layout,Fuel_Type_Cleaned
TOYOTA,Prius Prime,1998.0,220.0,180.0,6.7,31100.0,5,220.0,Hybrid (ICE+Electric),Hybrid
TOYOTA,Gr Corolla,1618.0,300.0,230.0,5.0,36995.0,5,370.0,Inline,Petrol
TOYOTA,Land Cruiser 300,3346.0,305.0,210.0,6.8,58500.0,7,650.0,V-type,Mixed Fuel
TOYOTA,Tundra I-Force Max,3445.0,437.0,180.0,6.2,56000.0,5,750.0,Hybrid (ICE+Electric),Hybrid
TOYOTA,Corolla Hatchback Xse,1987.0,169.0,190.0,8.2,25390.0,5,250.0,Inline,Petrol
TOYOTA,Mirai,,152.0,180.0,9.0,49500.0,5,335.0,Electric Motor,Hydrogen/CNG
TOYOTA,Hilux Gr Sport,2755.0,224.0,170.0,10.0,50000.0,5,500.0,Inline,Mixed Fuel
TOYOTA,Alphard Executive Lounge,,296.0,180.0,8.5,60000.0,7,400.0,Hybrid (ICE+Electric),Petrol
TOYOTA,Fortuner Gr Sport,2755.0,204.0,175.0,10.5,55000.0,7,500.0,Inline,Mixed Fuel
TOYOTA,Innova Hycross,1987.0,184.0,165.0,9.5,40000.0,7,250.0,Hybrid (ICE+Electric),Hybrid
TOYOTA,Coaster,4009.0,134.0,120.0,,70000.0,20,500.0,Inline,Diesel
TOYOTA,Urban Cruiser Taisor,1490.0,114.0,170.0,11.0,25000.0,5,130.0,Hybrid (ICE+Electric),Petrol
TOYOTA,Aygo X,998.0,71.0,160.0,14.8,18000.0,4,93.0,Inline,Petrol
TOYOTA,Hilux Revo Rocco,2755.0,204.0,175.0,10.0,50000.0,5,500.0,Inline,Diesel
TOYOTA,Proace Verso Electric,,136.0,130.0,13.5,55000.0,7,280.0,Electric Motor,Electric
TOYOTA,Century Suv,3456.0,406.0,200.0,6.0,170000.0,5,500.0,Hybrid (ICE+Electric),Petrol
TOYOTA,Corolla Sedan Hybrid,1798.0,134.0,180.0,10.0,24000.0,5,300.0,Hybrid (ICE+Electric),Hybrid
TOYOTA,Bz3,,241.0,160.0,7.5,35000.0,5,340.0,Electric Motor,Electric
TOYOTA,Gr Yaris,1618.0,268.0,230.0,5.5,45000.0,4,390.0,Inline,Petrol
HYUNDAI,Santa Fe,1600.0,253.0,180.0,9.3,50000.0,7,420.0,Hybrid (ICE+Electric),Hybrid
HYUNDAI,Ioniq 5,,225.0,185.0,7.4,41000.0,5,350.0,Electric Motor,Electric
HYUNDAI,Santa Cruz,2500.0,281.0,215.0,6.5,40799.0,5,400.0,Inline,Petrol
HYUNDAI,Kona,1591.0,147.0,185.0,10.5,20500.0,5,400.0,Inline,Petrol
HYUNDAI,Elantra,2000.0,147.0,210.0,8.3,19950.0,5,250.0,Inline,Hybrid
NISSAN,Urvan,,2488.0,140.0,14.0,28000.0,15,356.0,Inline,Diesel
HYUNDAI,Ioniq 6,,320.0,185.0,5.2,41450.0,5,350.0,Electric Motor,Electric
HYUNDAI,Tucson,2500.0,187.0,180.0,6.1,30500.0,5,400.0,Inline,Hybrid
HYUNDAI,Palisade,3800.0,291.0,240.0,6.3,52000.0,7,355.0,V-type,Petrol
HYUNDAI,Sonata,2500.0,191.0,240.0,8.0,25000.0,5,250.0,Inline,Hybrid
HYUNDAI,Accent,1600.0,120.0,180.0,9.8,15000.0,5,151.0,Inline,Petrol
HYUNDAI,Venue,1600.0,121.0,180.0,9.5,18000.0,5,240.0,Inline,Petrol
HYUNDAI,Kona Electric,,200.0,200.0,6.1,40000.0,5,395.0,Electric Motor,Electric
HYUNDAI,Veloster,2000.0,275.0,220.0,6.0,25000.0,4,264.0,Inline,Petrol
HYUNDAI,Nexo,,161.0,180.0,7.8,38000.0,5,400.0,Electric Motor,Hydrogen/CNG
HYUNDAI,Ioniq,1600.0,139.0,160.0,8.5,18000.0,5,295.0,Inline,Hybrid
HYUNDAI,Genesis,3800.0,291.0,240.0,6.3,52000.0,5,400.0,V-type,Petrol
HYUNDAI,Azera,3300.0,278.0,240.0,6.5,55000.0,5,250.0,V-type,Petrol
HYUNDAI,Equus,3300.0,278.0,240.0,6.5,55000.0,5,400.0,V-type,Petrol
HYUNDAI,Tiburon,2000.0,160.0,200.0,8.2,19000.0,4,320.0,Inline,Petrol
HYUNDAI,Elantra Gt,2000.0,160.0,200.0,8.3,22000.0,5,320.0,Inline,Petrol
VOLKSWAGEN,Golf,1498.0,215.0,210.0,8.5,23000.0,5,250.0,Electric Motor,Petrol
VOLKSWAGEN,Passat,1984.0,215.0,210.0,7.8,25000.0,5,250.0,Inline,Petrol
VOLKSWAGEN,Tiguan,1984.0,190.0,209.0,8.5,28505.0,7,300.0,Inline,Hybrid
